title,number,created_at,closed_at,labels,state,municipio,month,day,year,format_date_closed,format_date_created,week
Coleta de Despesas - Empenhos Anulados - Augusto de Lima,1487,2022-02-09 14:24:56,0,Realização F01 Coleta,open,Augusto de Lima,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Jaíba,1486,2022-02-09 14:24:55,0,Realização F01 Coleta,open,Jaíba,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Datas,1485,2022-02-09 14:24:52,0,Realização F01 Coleta,open,Datas,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Mamonas,1484,2022-02-09 14:24:51,0,Realização F01 Coleta,open,Mamonas,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Pintópolis,1483,2022-02-09 14:24:50,0,Realização F01 Coleta,open,Pintópolis,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Indaiabira,1482,2022-02-09 14:24:48,0,Realização F01 Coleta,open,Indaiabira,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - São Romão,1481,2022-02-09 14:24:47,0,Realização F01 Coleta,open,São Romão,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Josenópolis,1480,2022-02-09 14:24:46,0,Realização F01 Coleta,open,Josenópolis,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Francisco Sá,1479,2022-02-09 14:24:45,0,Realização F01 Coleta,open,Francisco Sá,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Coração de Jesus,1478,2022-02-09 14:24:43,0,Realização F01 Coleta,open,Coração de Jesus,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Itamarandiba,1477,2022-02-09 14:24:42,0,Realização F01 Coleta,open,Itamarandiba,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Senador Modestino Gonçalves,1476,2022-02-09 14:24:41,0,Realização F01 Coleta,open,Senador Modestino Gonçalves,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Felício dos Santos,1475,2022-02-09 14:24:39,0,Realização F01 Coleta,open,Felício dos Santos,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Itinga,1474,2022-02-09 14:24:38,0,Realização F01 Coleta,open,Itinga,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Mirabela,1473,2022-02-09 14:24:36,0,Realização F01 Coleta,open,Mirabela,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Fruta de Leite,1472,2022-02-09 14:24:35,0,Realização F01 Coleta,open,Fruta de Leite,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Catuti,1471,2022-02-09 14:24:33,0,Realização F01 Coleta,open,Catuti,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Ponto Chique,1470,2022-02-09 14:24:32,0,Realização F01 Coleta,open,Ponto Chique,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Gouveia,1469,2022-02-09 14:16:03,0,Realização F01 Coleta,open,Gouveia,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Materlândia,1468,2022-02-09 14:16:02,0,Realização F01 Coleta,open,Materlândia,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - São João da Lagoa,1467,2022-02-09 14:16:01,0,Realização F01 Coleta,open,São João da Lagoa,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Bonito de Minas,1466,2022-02-09 14:15:59,0,Realização F01 Coleta,open,Bonito de Minas,2,9,2022,1/1970,2/2022,00
Coleta de Despesas - Empenhos Anulados - Espinosa,1465,2022-02-09 14:15:58,0,Realização F01 Coleta,open,Espinosa,2,9,2022,1/1970,2/2022,00
Coleta de Licitação - Água Comprida,1290,2022-01-18 14:26:09,0,Realização F01 Coleta,open,Água Comprida,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Estrela do Sul,1289,2022-01-18 14:26:08,0,Realização F01 Coleta,open,Estrela do Sul,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Campo Florido,1288,2022-01-18 14:26:06,0,Realização F01 Coleta,open,Campo Florido,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Pratinha,1287,2022-01-18 14:26:05,0,Realização F01 Coleta,open,Pratinha,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Centralina,1286,2022-01-18 14:26:04,0,Realização F01 Coleta,open,Centralina,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Tiros,1285,2022-01-18 14:26:02,0,Realização F01 Coleta,open,Tiros,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Veríssimo,1284,2022-01-18 14:26:00,0,Realização F01 Coleta,open,Veríssimo,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Tupaciguara,1283,2022-01-18 14:25:59,0,Realização F01 Coleta,open,Tupaciguara,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - São Gotardo,1282,2022-01-18 14:25:57,0,Realização F01 Coleta,open,São Gotardo,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Cascalho Rico,1281,2022-01-18 14:25:55,0,Realização F01 Coleta,open,Cascalho Rico,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Rio Paranaíba,1280,2022-01-18 14:25:54,0,Realização F01 Coleta,open,Rio Paranaíba,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Carmo do Paranaíba,1279,2022-01-18 14:25:53,0,Realização F01 Coleta,open,Carmo do Paranaíba,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Araxá,1278,2022-01-18 14:25:51,0,Realização F01 Coleta,open,Araxá,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Patos de Minas,1277,2022-01-18 14:25:48,0,Realização F01 Coleta,open,Patos de Minas,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Perdizes,1276,2022-01-18 14:25:47,0,Realização F01 Coleta,open,Perdizes,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Pedrinópolis,1275,2022-01-18 14:25:46,0,Realização F01 Coleta,open,Pedrinópolis,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Iturama,1274,2022-01-18 14:25:44,0,Realização F01 Coleta,open,Iturama,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Nova Ponte,1273,2022-01-18 14:25:43,0,Realização F01 Coleta,open,Nova Ponte,1,18,2022,1/1970,1/2022,00
Coleta de Licitação - Conceição das Alagoas,1272,2022-01-18 14:25:42,0,Realização F01 Coleta,open,Conceição das Alagoas,1,18,2022,1/1970,1/2022,00
Coleta de Licitações de Tapiraí ,1151,2022-01-05 13:25:11,0,Realização F01 Coleta,open,Tapira,1,5,2022,1/1970,1/2022,00
Coleta de Licitações de Santo Antônio do Grama,1150,2022-01-05 13:21:49,0,Realização F01 Coleta,open,Santo Antônio do Grama,1,5,2022,1/1970,1/2022,00
Coleta de Licitações de Poços de Caldas,1149,2022-01-05 13:19:50,0,Realização F01 Coleta,open,Poços de Caldas,1,5,2022,1/1970,1/2022,00
Coleta de Licitações de Passa Tempo,1148,2022-01-05 13:18:44,0,Realização F01 Coleta,open,Passa Tempo,1,5,2022,1/1970,1/2022,00
Coleta de Licitações de Pará de Minas,1147,2022-01-05 13:17:17,0,Realização F01 Coleta,open,Pará de Minas,1,5,2022,1/1970,1/2022,00
Coleta de Licitações de Nova Era,1146,2022-01-05 13:15:47,0,Realização F01 Coleta,open,Nova Era,1,5,2022,1/1970,1/2022,00
Coleta de Licitações de João Monlevade,1145,2022-01-05 13:14:02,0,Realização F01 Coleta,open,João Monlevade,1,5,2022,1/1970,1/2022,00
Coleta de Licitações de Itabirito,1144,2022-01-05 13:11:27,0,Realização F01 Coleta,open,Itabirito,1,5,2022,1/1970,1/2022,00
Coleta de Licitações de Cruzeiro da Fortaleza,1141,2022-01-05 12:58:23,0,Realização F01 Coleta,open,Cruzeiro da Fortaleza,1,5,2022,1/1970,1/2022,00
Coleta de Licitações de São José da Barra de 2021 até 2017 (Outro Template),1089,2021-12-14 13:40:23,0,Realização F01 Coleta,open,São José da Barra,12,14,2021,1/1970,12/2021,00
Coleta de Licitações de São José da Barra de 2016 até 2012 (Outro Template),1088,2021-12-14 13:39:32,0,Realização F01 Coleta,open,São José da Barra,12,14,2021,1/1970,12/2021,00
Coleta de Licitações de Paraguaçu de 2021 até 2017,1073,2021-12-14 13:17:30,0,Realização F01 Coleta,open,Paraguaçu,12,14,2021,1/1970,12/2021,00
Coleta de Licitações de Paraguaçu de 2016 até 2012,1072,2021-12-14 13:16:31,0,Realização F01 Coleta,open,Paraguaçu,12,14,2021,1/1970,12/2021,00
Coleta de Licitações de Campo do Meio de 2016 até 2012 (Outro Template) ,937,2021-11-22 23:45:00,0,Realização F01 Coleta,open,Campo do Meio,11,22,2021,1/1970,11/2021,00
Coleta de Licitações de Campo do Meio de 2021 até 2017 (Outro Template) ,936,2021-11-22 23:44:13,0,Realização F01 Coleta,open,Campo do Meio,11,22,2021,1/1970,11/2021,00
Coleta de Licitações de Barbacena de 2016 até 2012 (Outro Template) ,933,2021-11-22 23:40:02,0,Realização F01 Coleta,open,Barbacena,11,22,2021,1/1970,11/2021,00
Coleta de Licitações de Barbacena de 2021 até 2017 (Outro Template),932,2021-11-22 23:38:39,0,Realização F01 Coleta,open,Barbacena,11,22,2021,1/1970,11/2021,00
Coleta de dados de Relatórios Estatísticos de Betim,836,2021-10-22 15:36:20,0,externa Realização F01 Coleta,open,Betim,10,22,2021,1/1970,10/2021,00
Coleta de dados de Relatórios Estatísticos de Ipatinga,835,2021-10-22 15:32:52,0,externa Realização F01 Coleta,open,Ipatinga,10,22,2021,1/1970,10/2021,00
Coleta de dados de Relatórios Estatísticos de Governador Valadares,834,2021-10-22 15:30:30,0,externa Realização F01 Coleta,open,Governador Valadares,10,22,2021,1/1970,10/2021,00
Coleta de dados de Relatórios Estatísticos de Juiz de Fora,833,2021-10-22 15:26:14,0,externa Realização F01 Coleta,open,Juiz de Fora,10,22,2021,1/1970,10/2021,00
Coleta de dados de Relatórios Estatísticos de Passos,831,2021-10-22 14:46:31,0,externa Realização F01 Coleta,open,Passos,10,22,2021,1/1970,10/2021,00
Coleta de dados de Relatórios Estatísticos de Varginha,830,2021-10-22 14:40:22,0,externa Realização F01 Coleta,open,Varginha,10,22,2021,1/1970,10/2021,00
Coleta de dados Relatórios Estatísticos de Uberaba,826,2021-10-22 14:16:40,0,externa Realização F01 Coleta,open,Uberaba,10,22,2021,1/1970,10/2021,00
 Coleta de dados de Despesas de Juiz de Fora,795,2021-10-09 00:32:25,0,externa Realização F01 Coleta,open,Juiz de Fora,10,9,2021,1/1970,10/2021,00
 Coleta de dados sobre os pagamentos de Uberaba,792,2021-10-08 23:12:14,0,externa Realização F01 Coleta,open,Uberaba,10,8,2021,1/1970,10/2021,00
Coleta de dados de despesa por ação de Pará de Minas,791,2021-10-08 23:03:01,0,externa Realização F01 Coleta,open,Pará de Minas,10,8,2021,1/1970,10/2021,00
 Coleta de dados dos empenhos de Montes Claros ,788,2021-10-08 15:37:10,0,externa Realização F01 Coleta,open,Montes Claros,10,8,2021,1/1970,10/2021,00
Coleta geral do portal de transparência de Teófilo Otoni,752,2021-09-17 14:42:34,0,externa Realização F01 Coleta,open,Teófilo Otoni,9,17,2021,1/1970,9/2021,00
 Coleta de dados de RGF e RREO da prefeitura de Paracatu.,663,2021-07-26 13:16:32,0,externa Realização F01 Coleta,open,Paracatu,7,26,2021,1/1970,7/2021,00
Coleta das informações de Despesa de Passos.,651,2021-07-22 14:11:35,0,externa Realização F01 Coleta,open,Passos,7,22,2021,1/1970,7/2021,00
 Coleta de dados dos Relatórios de Contas Públicas do portal de transparência de Ipatinga.,647,2021-07-22 12:52:56,0,externa Realização F01 Coleta,open,Ipatinga,7,22,2021,1/1970,7/2021,00
 Coleta de dados das licitações do portal de transparência de Varginha ,635,2021-07-20 18:12:04,0,Alta externa Realização F01 Coleta,open,Varginha,7,20,2021,1/1970,7/2021,00
 Coleta de dados sobre os empenhos de Uberaba ,607,2021-07-15 21:11:01,0,externa Realização F01 Coleta,open,Uberaba,7,15,2021,1/1970,7/2021,00
Coleta de dados sobre liquidações de Uberaba ,604,2021-07-15 14:28:35,0,externa Realização F01 Coleta,open,Uberaba,7,15,2021,1/1970,7/2021,00
 Coleta de dados sobre concursos de Uberaba ,602,2021-07-15 13:56:37,0,externa Realização F01 Coleta,open,Uberaba,7,15,2021,1/1970,7/2021,00
Coleta de dados sobre servidores de Montes Claros ,597,2021-07-14 15:22:46,0,externa Realização F01 Coleta,open,Montes Claros,7,14,2021,1/1970,7/2021,00
Coleta de dados dos Relatórios de Gestão Fiscal e execução orçamentária de Montes Claros ,596,2021-07-14 15:06:18,0,externa Realização F01 Coleta,open,Montes Claros,7,14,2021,1/1970,7/2021,00
Coleta de dados das Informações sobre despesas de Montes Claros ,594,2021-07-14 14:35:42,0,externa Realização F01 Coleta,open,Montes Claros,7,14,2021,1/1970,7/2021,00
Coleta de dados das Informações sobre obras de Montes Claros ,592,2021-07-14 14:15:17,0,externa Realização F01 Coleta,open,Montes Claros,7,14,2021,1/1970,7/2021,00
Coleta de dados das Informações sobre contratos de Montes Claros ,587,2021-07-14 13:01:55,0,externa Realização F01 Coleta,open,Montes Claros,7,14,2021,1/1970,7/2021,00
Coleta de dados sobre os servidores de Betim ,580,2021-07-13 13:49:35,0,externa Realização F01 Coleta,open,Betim,7,13,2021,1/1970,7/2021,00
Coleta de dados das Diárias de Betim ,575,2021-07-13 13:01:23,0,externa Realização F01 Coleta,open,Betim,7,13,2021,1/1970,7/2021,00
 Coleta de dados dos concursos do portal de transparência de Betim ,573,2021-07-12 14:00:12,0,Realização F01 Coleta,open,Betim,7,12,2021,1/1970,7/2021,00
 Coleta de dados dos convênios de Betim ,572,2021-07-12 13:36:18,0,externa Realização F01 Coleta,open,Betim,7,12,2021,1/1970,7/2021,00
Coleta de dados das receitas do portal de transparência de Betim,569,2021-07-12 12:48:45,0,externa Coleta,open,Betim,7,12,2021,1/1970,7/2021,00
 Coleta de dados das leis orçamentárias do portal de transparência de Juiz de Fora. ,558,2021-07-08 13:53:50,0,externa Realização F01 Coleta,open,Juiz de Fora,7,8,2021,1/1970,7/2021,00
Coleta de dados de contratos do portal de transparência de Juiz de Fora.,556,2021-07-08 12:34:45,0,externa Realização F01 Coleta,open,Juiz de Fora,7,8,2021,1/1970,7/2021,00
Coleta de dados dos convênios da prefeitura de Uberlândia. ,536,2021-07-06 13:47:57,0,externa Realização F01 Coleta,open,Uberlândia,7,6,2021,1/1970,7/2021,00
Coleta de dados das legislações da prefeitura de Governador Valadares.,504,2021-06-08 13:19:57,0,externa Realização F01 Coleta,open,Governador Valadares,6,8,2021,1/1970,6/2021,00
Coleta de dados dos contratos da prefeitura de Governador Valadares.,499,2021-06-02 13:27:12,0,externa Realização F01 Coleta,open,Governador Valadares,6,2,2021,1/1970,6/2021,00
Coleta das Leis Orçamentárias de Paracatu,664,2021-07-26 13:17:36,0,externa Realização F01 Coleta,open,Paracatu,7,26,2021,1/1970,7/2021,00
Coleta da dados de Relatórios de Execução e Gestao Fiscal de Teófilo Otoni,650,2021-07-22 13:41:18,0,externa Realização F01 Coleta,open,Teófilo Otoni,7,22,2021,1/1970,7/2021,00
Coleta de dados de Leis Orçamentárias de Divinópolis,637,2021-07-21 13:05:40,0,externa Realização F01 Coleta,open,Divinópolis,7,21,2021,1/1970,7/2021,00
Coleta de dados de Leis Orçamentárias de Divinópolis,829,2021-10-22 14:36:39,2021-11-22 12:06:08,externa Realização F01 Coleta,closed,Divinópolis,10,22,2021,11/2021,10/2021,47
Coleta de dados dos Processos Licitatórios de Divinópolis,633,2021-07-20 14:44:02,0,Alta externa Realização F01 Coleta,open,Divinópolis,7,20,2021,1/1970,7/2021,00
Coleta de dados de Dispensa e Inexigibilidade de Pará de Minas,629,2021-07-20 13:48:43,0,externa Realização F01 Coleta,open,Pará de Minas,7,20,2021,1/1970,7/2021,00
Coleta de dados de Licitações de Pará de Minas,628,2021-07-20 13:23:51,0,Alta externa Coleta,open,Pará de Minas,7,20,2021,1/1970,7/2021,00
Coleta de dados de Licitações de Uberaba,624,2021-07-19 16:10:29,0,Alta externa Realização F01 Coleta,open,Uberaba,7,19,2021,1/1970,7/2021,00
Coleta de dados de Obras de Uberaba,623,2021-07-19 14:47:23,0,externa Realização F01 Coleta,open,Uberaba,7,19,2021,1/1970,7/2021,00
Coleta dos dados de Prestação de contas de Uberaba,606,2021-07-15 14:39:40,0,externa Realização F01 Coleta,open,Uberaba,7,15,2021,1/1970,7/2021,00
Coleta de dados de Receitas de Uberaba,603,2021-07-15 14:19:16,0,externa Realização F01 Coleta,open,Uberaba,7,15,2021,1/1970,7/2021,00
Coleta de dados de Convênios de Uberaba,601,2021-07-15 13:52:30,0,externa Realização F01 Coleta,open,Uberaba,7,15,2021,1/1970,7/2021,00
Coleta de dados abertos de Montes Claros,598,2021-07-15 12:31:52,0,externa Realização F01 Coleta,open,Montes Claros,7,15,2021,1/1970,7/2021,00
Coleta dos Relatórios de Despesas (e Receitas) de Montes Claros,595,2021-07-14 15:03:21,0,externa Realização F01 Coleta,open,Montes Claros,7,14,2021,1/1970,7/2021,00
Coleta dos Relatórios Fiscais (SIACE/LRF) de 2017 de Montes Claros,593,2021-07-14 14:17:34,0,externa Realização F01 Coleta,open,Montes Claros,7,14,2021,1/1970,7/2021,00
Coleta dos dados da Execução Orçamentária de Montes Claros,591,2021-07-14 13:59:03,0,externa Realização F01 Coleta,open,Montes Claros,7,14,2021,1/1970,7/2021,00
Coleta de dados de Recursos Recebidos e Transferidos de Montes Claros,590,2021-07-14 13:44:52,0,externa Realização F01 Coleta,open,Montes Claros,7,14,2021,1/1970,7/2021,00
Coleta de dados sobre Despesas Públicas de Betim,581,2021-07-13 14:31:02,0,externa Realização F01 Coleta,open,Betim,7,13,2021,1/1970,7/2021,00
Coleta de dados abertos do portal de transparência de Juiz de Fora,563,2021-07-09 14:33:08,0,externa Realização F01 Coleta,open,Juiz de Fora,7,9,2021,1/1970,7/2021,00
Coleta de dados dos Recursos do portal de transparência de Juiz de Fora,562,2021-07-09 14:28:46,0,externa Realização F01 Coleta,open,Juiz de Fora,7,9,2021,1/1970,7/2021,00
Coleta de dados de Relatórios de Prestação de Contas do portal de transparência de Juiz de Fora.,559,2021-07-08 14:09:15,0,externa Realização F01 Coleta,open,Juiz de Fora,7,8,2021,1/1970,7/2021,00
Coleta de dados de Receitas de Juiz de Fora,555,2021-07-08 12:23:56,0,externa Realização F01 Coleta,open,Juiz de Fora,7,8,2021,1/1970,7/2021,00
Coleta de dados de Receitas do portal de transparência de Uberlândia.,554,2021-07-08 00:02:49,0,externa Realização F01 Coleta,open,Uberlândia,7,8,2021,1/1970,7/2021,00
Coleta de dados do Terceiro Setor do portal de transparência de Uberlândia.,541,2021-07-06 15:12:40,0,externa [B] Iframe Coleta,open,Uberlândia,7,6,2021,1/1970,7/2021,00
